PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
ESP,10,f,101,+,C,31,12,1900,31,O,124,.,.,.,1
ESP,10,f,TOT,.,C,31,12,1900,31,O,9530265,.,.,.,1
ESP,10,f,UNK,.,C,31,12,1900,31,O,9891,.,.,.,1
ESP,10,m,0,1,C,31,12,1900,31,O,193464,.,.,.,1
ESP,10,m,1,1,C,31,12,1900,31,O,225374,.,.,.,1
ESP,10,m,2,1,C,31,12,1900,31,O,227519,.,.,.,1
ESP,10,m,3,1,C,31,12,1900,31,O,223668,.,.,.,1
ESP,10,m,4,1,C,31,12,1900,31,O,220997,.,.,.,1
ESP,10,m,5,1,C,31,12,1900,31,O,222619,.,.,.,1
ESP,10,m,6,1,C,31,12,1900,31,O,214174,.,.,.,1
ESP,10,m,7,1,C,31,12,1900,31,O,215682,.,.,.,1
ESP,10,m,8,1,C,31,12,1900,31,O,217572,.,.,.,1
ESP,10,m,9,1,C,31,12,1900,31,O,195675,.,.,.,1
ESP,10,m,10,1,C,31,12,1900,31,O,213911,.,.,.,1
ESP,10,m,11,1,C,31,12,1900,31,O,188186,.,.,.,1
ESP,10,m,12,1,C,31,12,1900,31,O,212276,.,.,.,1
ESP,10,m,13,1,C,31,12,1900,31,O,192521,.,.,.,1
ESP,10,m,14,1,C,31,12,1900,31,O,180792,.,.,.,1
ESP,10,m,15,1,C,31,12,1900,31,O,160252,.,.,.,1
ESP,10,m,16,1,C,31,12,1900,31,O,154687,.,.,.,1
ESP,10,m,17,1,C,31,12,1900,31,O,151209,.,.,.,1
ESP,10,m,18,1,C,31,12,1900,31,O,153164,.,.,.,1
ESP,10,m,19,1,C,31,12,1900,31,O,135159,.,.,.,1
ESP,10,m,20,1,C,31,12,1900,31,O,139211,.,.,.,1
ESP,10,m,21,1,C,31,12,1900,31,O,145223,.,.,.,1
ESP,10,m,22,1,C,31,12,1900,31,O,154634,.,.,.,1
ESP,10,m,23,1,C,31,12,1900,31,O,152474,.,.,.,1
ESP,10,m,24,1,C,31,12,1900,31,O,146324,.,.,.,1
ESP,10,m,25,1,C,31,12,1900,31,O,149913,.,.,.,1
ESP,10,m,26,1,C,31,12,1900,31,O,142456,.,.,.,1
ESP,10,m,27,1,C,31,12,1900,31,O,130365,.,.,.,1
ESP,10,m,28,1,C,31,12,1900,31,O,144986,.,.,.,1
ESP,10,m,29,1,C,31,12,1900,31,O,111006,.,.,.,1
ESP,10,m,30,1,C,31,12,1900,31,O,184960,.,.,.,1
ESP,10,m,31,1,C,31,12,1900,31,O,88644,.,.,.,1
ESP,10,m,32,1,C,31,12,1900,31,O,118628,.,.,.,1
ESP,10,m,33,1,C,31,12,1900,31,O,110452,.,.,.,1
ESP,10,m,34,1,C,31,12,1900,31,O,119917,.,.,.,1
ESP,10,m,35,1,C,31,12,1900,31,O,121038,.,.,.,1
ESP,10,m,36,1,C,31,12,1900,31,O,119869,.,.,.,1
ESP,10,m,37,1,C,31,12,1900,31,O,97296,.,.,.,1
ESP,10,m,38,1,C,31,12,1900,31,O,120011,.,.,.,1
ESP,10,m,39,1,C,31,12,1900,31,O,94889,.,.,.,1
ESP,10,m,40,1,C,31,12,1900,31,O,196764,.,.,.,1
ESP,10,m,41,1,C,31,12,1900,31,O,76005,.,.,.,1
ESP,10,m,42,1,C,31,12,1900,31,O,103965,.,.,.,1
ESP,10,m,43,1,C,31,12,1900,31,O,81238,.,.,.,1
ESP,10,m,44,1,C,31,12,1900,31,O,94458,.,.,.,1
ESP,10,m,45,1,C,31,12,1900,31,O,110234,.,.,.,1
ESP,10,m,46,1,C,31,12,1900,31,O,92635,.,.,.,1
ESP,10,m,47,1,C,31,12,1900,31,O,76568,.,.,.,1
ESP,10,m,48,1,C,31,12,1900,31,O,98840,.,.,.,1
ESP,10,m,49,1,C,31,12,1900,31,O,72426,.,.,.,1
ESP,10,m,50,1,C,31,12,1900,31,O,171607,.,.,.,1
ESP,10,m,51,1,C,31,12,1900,31,O,61555,.,.,.,1
ESP,10,m,52,1,C,31,12,1900,31,O,81147,.,.,.,1
ESP,10,m,53,1,C,31,12,1900,31,O,64170,.,.,.,1
ESP,10,m,54,1,C,31,12,1900,31,O,76833,.,.,.,1
ESP,10,m,55,1,C,31,12,1900,31,O,78196,.,.,.,1
ESP,10,m,56,1,C,31,12,1900,31,O,76911,.,.,.,1
ESP,10,m,57,1,C,31,12,1900,31,O,57907,.,.,.,1
ESP,10,m,58,1,C,31,12,1900,31,O,72605,.,.,.,1
ESP,10,m,59,1,C,31,12,1900,31,O,52060,.,.,.,1
ESP,10,m,60,1,C,31,12,1900,31,O,132457,.,.,.,1
ESP,10,m,61,1,C,31,12,1900,31,O,44183,.,.,.,1
ESP,10,m,62,1,C,31,12,1900,31,O,54772,.,.,.,1
ESP,10,m,63,1,C,31,12,1900,31,O,46758,.,.,.,1
ESP,10,m,64,1,C,31,12,1900,31,O,51265,.,.,.,1
ESP,10,m,65,1,C,31,12,1900,31,O,49405,.,.,.,1
ESP,10,m,66,1,C,31,12,1900,31,O,45138,.,.,.,1
ESP,10,m,67,1,C,31,12,1900,31,O,35807,.,.,.,1
ESP,10,m,68,1,C,31,12,1900,31,O,36925,.,.,.,1
ESP,10,m,69,1,C,31,12,1900,31,O,24510,.,.,.,1
ESP,10,m,70,1,C,31,12,1900,31,O,63899,.,.,.,1
ESP,10,m,71,1,C,31,12,1900,31,O,18968,.,.,.,1
ESP,10,m,72,1,C,31,12,1900,31,O,23987,.,.,.,1
ESP,10,m,73,1,C,31,12,1900,31,O,19665,.,.,.,1
ESP,10,m,74,1,C,31,12,1900,31,O,20242,.,.,.,1
ESP,10,m,75,1,C,31,12,1900,31,O,20828,.,.,.,1
ESP,10,m,76,1,C,31,12,1900,31,O,17066,.,.,.,1
ESP,10,m,77,1,C,31,12,1900,31,O,12895,.,.,.,1
ESP,10,m,78,1,C,31,12,1900,31,O,13917,.,.,.,1
ESP,10,m,79,1,C,31,12,1900,31,O,8078,.,.,.,1
ESP,10,m,80,1,C,31,12,1900,31,O,19169,.,.,.,1
ESP,10,m,81,1,C,31,12,1900,31,O,4835,.,.,.,1
ESP,10,m,82,1,C,31,12,1900,31,O,5045,.,.,.,1
ESP,10,m,83,1,C,31,12,1900,31,O,3628,.,.,.,1
ESP,10,m,84,1,C,31,12,1900,31,O,3856,.,.,.,1
ESP,10,m,85,1,C,31,12,1900,31,O,2999,.,.,.,1
ESP,10,m,86,1,C,31,12,1900,31,O,2266,.,.,.,1
ESP,10,m,87,1,C,31,12,1900,31,O,1698,.,.,.,1
ESP,10,m,88,1,C,31,12,1900,31,O,1431,.,.,.,1
ESP,10,m,89,1,C,31,12,1900,31,O,948,.,.,.,1
ESP,10,m,90,1,C,31,12,1900,31,O,1369,.,.,.,1
ESP,10,m,91,1,C,31,12,1900,31,O,307,.,.,.,1
ESP,10,m,92,1,C,31,12,1900,31,O,306,.,.,.,1
ESP,10,m,93,1,C,31,12,1900,31,O,210,.,.,.,1
ESP,10,m,94,1,C,31,12,1900,31,O,177,.,.,.,1
ESP,10,m,95,1,C,31,12,1900,31,O,194,.,.,.,1
ESP,10,m,96,1,C,31,12,1900,31,O,130,.,.,.,1
ESP,10,m,97,1,C,31,12,1900,31,O,94,.,.,.,1
ESP,10,m,98,1,C,31,12,1900,31,O,111,.,.,.,1
ESP,10,m,99,1,C,31,12,1900,31,O,72,.,.,.,1
ESP,10,m,100,1,C,31,12,1900,31,O,55,.,.,.,1
ESP,10,m,101,+,C,31,12,1900,31,O,28,.,.,.,1
ESP,10,m,TOT,.,C,31,12,1900,31,O,9087821,.,.,.,1
ESP,10,m,UNK,.,C,31,12,1900,31,O,10807,.,.,.,1
ESP,10,f,0,1,C,31,12,1910,30,O,218053,.,.,.,1
ESP,10,f,1,1,C,31,12,1910,30,O,224981,.,.,.,1
ESP,10,f,2,1,C,31,12,1910,30,O,247257,.,.,.,1
ESP,10,f,3,1,C,31,12,1910,30,O,242499,.,.,.,1
ESP,10,f,4,1,C,31,12,1910,30,O,237691,.,.,.,1
ESP,10,f,5,1,C,31,12,1910,30,O,231152,.,.,.,1
ESP,10,f,6,1,C,31,12,1910,30,O,237758,.,.,.,1
ESP,10,f,7,1,C,31,12,1910,30,O,235976,.,.,.,1
ESP,10,f,8,1,C,31,12,1910,30,O,237023,.,.,.,1
ESP,10,f,9,1,C,31,12,1910,30,O,213030,.,.,.,1
ESP,10,f,10,1,C,31,12,1910,30,O,233527,.,.,.,1
ESP,10,f,11,1,C,31,12,1910,30,O,192548,.,.,.,1
ESP,10,f,12,1,C,31,12,1910,30,O,220724,.,.,.,1
ESP,10,f,13,1,C,31,12,1910,30,O,196434,.,.,.,1
ESP,10,f,14,1,C,31,12,1910,30,O,200824,.,.,.,1
ESP,10,f,15,1,C,31,12,1910,30,O,185273,.,.,.,1
ESP,10,f,16,1,C,31,12,1910,30,O,185599,.,.,.,1
ESP,10,f,17,1,C,31,12,1910,30,O,176622,.,.,.,1
ESP,10,f,18,1,C,31,12,1910,30,O,203549,.,.,.,1
ESP,10,f,19,1,C,31,12,1910,30,O,163061,.,.,.,1
ESP,10,f,20,1,C,31,12,1910,30,O,201656,.,.,.,1
ESP,10,f,21,1,C,31,12,1910,30,O,144628,.,.,.,1
ESP,10,f,22,1,C,31,12,1910,30,O,179033,.,.,.,1
ESP,10,f,23,1,C,31,12,1910,30,O,158446,.,.,.,1
ESP,10,f,24,1,C,31,12,1910,30,O,173168,.,.,.,1
ESP,10,f,25,1,C,31,12,1910,30,O,169468,.,.,.,1
ESP,10,f,26,1,C,31,12,1910,30,O,161719,.,.,.,1
ESP,10,f,27,1,C,31,12,1910,30,O,138388,.,.,.,1
ESP,10,f,28,1,C,31,12,1910,30,O,168231,.,.,.,1
ESP,10,f,29,1,C,31,12,1910,30,O,121849,.,.,.,1
ESP,10,f,30,1,C,31,12,1910,30,O,221438,.,.,.,1
ESP,10,f,31,1,C,31,12,1910,30,O,97280,.,.,.,1
ESP,10,f,32,1,C,31,12,1910,30,O,142448,.,.,.,1
ESP,10,f,33,1,C,31,12,1910,30,O,122184,.,.,.,1
ESP,10,f,34,1,C,31,12,1910,30,O,135135,.,.,.,1
ESP,10,f,35,1,C,31,12,1910,30,O,135542,.,.,.,1
ESP,10,f,36,1,C,31,12,1910,30,O,142326,.,.,.,1
ESP,10,f,37,1,C,31,12,1910,30,O,108941,.,.,.,1
ESP,10,f,38,1,C,31,12,1910,30,O,137542,.,.,.,1
ESP,10,f,39,1,C,31,12,1910,30,O,96911,.,.,.,1
ESP,10,f,40,1,C,31,12,1910,30,O,216251,.,.,.,1
ESP,10,f,41,1,C,31,12,1910,30,O,75268,.,.,.,1
ESP,10,f,42,1,C,31,12,1910,30,O,115405,.,.,.,1
ESP,10,f,43,1,C,31,12,1910,30,O,88925,.,.,.,1
ESP,10,f,44,1,C,31,12,1910,30,O,112743,.,.,.,1
ESP,10,f,45,1,C,31,12,1910,30,O,121659,.,.,.,1
ESP,10,f,46,1,C,31,12,1910,30,O,110477,.,.,.,1
ESP,10,f,47,1,C,31,12,1910,30,O,84557,.,.,.,1
ESP,10,f,48,1,C,31,12,1910,30,O,118337,.,.,.,1
ESP,10,f,49,1,C,31,12,1910,30,O,80262,.,.,.,1
ESP,10,f,50,1,C,31,12,1910,30,O,199449,.,.,.,1
ESP,10,f,51,1,C,31,12,1910,30,O,62152,.,.,.,1
ESP,10,f,52,1,C,31,12,1910,30,O,91592,.,.,.,1
ESP,10,f,53,1,C,31,12,1910,30,O,67074,.,.,.,1
ESP,10,f,54,1,C,31,12,1910,30,O,91423,.,.,.,1
ESP,10,f,55,1,C,31,12,1910,30,O,88654,.,.,.,1
ESP,10,f,56,1,C,31,12,1910,30,O,91571,.,.,.,1
ESP,10,f,57,1,C,31,12,1910,30,O,63935,.,.,.,1
ESP,10,f,58,1,C,31,12,1910,30,O,88462,.,.,.,1
ESP,10,f,59,1,C,31,12,1910,30,O,57425,.,.,.,1
ESP,10,f,60,1,C,31,12,1910,30,O,176985,.,.,.,1
ESP,10,f,61,1,C,31,12,1910,30,O,46965,.,.,.,1
ESP,10,f,62,1,C,31,12,1910,30,O,66745,.,.,.,1
ESP,10,f,63,1,C,31,12,1910,30,O,51600,.,.,.,1
ESP,10,f,64,1,C,31,12,1910,30,O,65158,.,.,.,1
ESP,10,f,65,1,C,31,12,1910,30,O,66201,.,.,.,1
ESP,10,f,66,1,C,31,12,1910,30,O,56223,.,.,.,1
ESP,10,f,67,1,C,31,12,1910,30,O,41632,.,.,.,1
ESP,10,f,68,1,C,31,12,1910,30,O,52790,.,.,.,1
ESP,10,f,69,1,C,31,12,1910,30,O,31026,.,.,.,1
ESP,10,f,70,1,C,31,12,1910,30,O,87689,.,.,.,1
ESP,10,f,71,1,C,31,12,1910,30,O,20014,.,.,.,1
ESP,10,f,72,1,C,31,12,1910,30,O,28222,.,.,.,1
ESP,10,f,73,1,C,31,12,1910,30,O,19454,.,.,.,1
ESP,10,f,74,1,C,31,12,1910,30,O,23144,.,.,.,1
ESP,10,f,75,1,C,31,12,1910,30,O,24569,.,.,.,1
ESP,10,f,76,1,C,31,12,1910,30,O,20278,.,.,.,1
ESP,10,f,77,1,C,31,12,1910,30,O,13656,.,.,.,1
ESP,10,f,78,1,C,31,12,1910,30,O,16341,.,.,.,1
ESP,10,f,79,1,C,31,12,1910,30,O,8924,.,.,.,1
ESP,10,f,80,1,C,31,12,1910,30,O,29766,.,.,.,1
ESP,10,f,81,1,C,31,12,1910,30,O,5806,.,.,.,1
ESP,10,f,82,1,C,31,12,1910,30,O,7268,.,.,.,1
ESP,10,f,83,1,C,31,12,1910,30,O,4686,.,.,.,1
ESP,10,f,84,1,C,31,12,1910,30,O,6417,.,.,.,1
ESP,10,f,85,1,C,31,12,1910,30,O,5198,.,.,.,1
ESP,10,f,86,1,C,31,12,1910,30,O,4047,.,.,.,1
ESP,10,f,87,1,C,31,12,1910,30,O,2643,.,.,.,1
ESP,10,f,88,1,C,31,12,1910,30,O,2805,.,.,.,1
ESP,10,f,89,1,C,31,12,1910,30,O,1704,.,.,.,1
ESP,10,f,90,1,C,31,12,1910,30,O,3236,.,.,.,1
ESP,10,f,91,1,C,31,12,1910,30,O,617,.,.,.,1
ESP,10,f,92,1,C,31,12,1910,30,O,680,.,.,.,1
ESP,10,f,93,1,C,31,12,1910,30,O,462,.,.,.,1
ESP,10,f,94,1,C,31,12,1910,30,O,459,.,.,.,1
ESP,10,f,95,1,C,31,12,1910,30,O,486,.,.,.,1
ESP,10,f,96,1,C,31,12,1910,30,O,391,.,.,.,1
ESP,10,f,97,1,C,31,12,1910,30,O,241,.,.,.,1
ESP,10,f,98,1,C,31,12,1910,30,O,311,.,.,.,1
ESP,10,f,99,1,C,31,12,1910,30,O,192,.,.,.,1
ESP,10,f,100,1,C,31,12,1910,30,O,191,.,.,.,1
ESP,10,f,101,+,C,31,12,1910,30,O,207,.,.,.,1
ESP,10,f,TOT,.,C,31,12,1910,30,O,10270662,.,.,.,1
ESP,10,f,UNK,.,C,31,12,1910,30,O,9698,.,.,.,1
ESP,10,m,0,1,C,31,12,1910,30,O,225450,.,.,.,1
ESP,10,m,1,1,C,31,12,1910,30,O,230381,.,.,.,1
ESP,10,m,2,1,C,31,12,1910,30,O,254211,.,.,.,1
ESP,10,m,3,1,C,31,12,1910,30,O,247178,.,.,.,1
ESP,10,m,4,1,C,31,12,1910,30,O,239197,.,.,.,1
ESP,10,m,5,1,C,31,12,1910,30,O,237756,.,.,.,1
ESP,10,m,6,1,C,31,12,1910,30,O,238681,.,.,.,1
ESP,10,m,7,1,C,31,12,1910,30,O,238600,.,.,.,1
ESP,10,m,8,1,C,31,12,1910,30,O,241088,.,.,.,1
ESP,10,m,9,1,C,31,12,1910,30,O,216906,.,.,.,1
ESP,10,m,10,1,C,31,12,1910,30,O,234102,.,.,.,1
ESP,10,m,11,1,C,31,12,1910,30,O,195163,.,.,.,1
ESP,10,m,12,1,C,31,12,1910,30,O,219090,.,.,.,1
ESP,10,m,13,1,C,31,12,1910,30,O,196616,.,.,.,1
ESP,10,m,14,1,C,31,12,1910,30,O,202007,.,.,.,1
ESP,10,m,15,1,C,31,12,1910,30,O,179953,.,.,.,1
ESP,10,m,16,1,C,31,12,1910,30,O,173089,.,.,.,1
ESP,10,m,17,1,C,31,12,1910,30,O,172549,.,.,.,1
ESP,10,m,18,1,C,31,12,1910,30,O,182758,.,.,.,1
ESP,10,m,19,1,C,31,12,1910,30,O,147052,.,.,.,1
ESP,10,m,20,1,C,31,12,1910,30,O,155726,.,.,.,1
ESP,10,m,21,1,C,31,12,1910,30,O,138637,.,.,.,1
ESP,10,m,22,1,C,31,12,1910,30,O,168953,.,.,.,1
ESP,10,m,23,1,C,31,12,1910,30,O,161722,.,.,.,1
ESP,10,m,24,1,C,31,12,1910,30,O,151027,.,.,.,1
ESP,10,m,25,1,C,31,12,1910,30,O,149101,.,.,.,1
ESP,10,m,26,1,C,31,12,1910,30,O,146265,.,.,.,1
ESP,10,m,27,1,C,31,12,1910,30,O,133594,.,.,.,1
ESP,10,m,28,1,C,31,12,1910,30,O,148763,.,.,.,1
ESP,10,m,29,1,C,31,12,1910,30,O,116013,.,.,.,1
ESP,10,m,30,1,C,31,12,1910,30,O,183402,.,.,.,1
ESP,10,m,31,1,C,31,12,1910,30,O,95998,.,.,.,1
ESP,10,m,32,1,C,31,12,1910,30,O,131779,.,.,.,1
ESP,10,m,33,1,C,31,12,1910,30,O,119590,.,.,.,1
ESP,10,m,34,1,C,31,12,1910,30,O,121572,.,.,.,1
ESP,10,m,35,1,C,31,12,1910,30,O,124217,.,.,.,1
ESP,10,m,36,1,C,31,12,1910,30,O,124136,.,.,.,1
ESP,10,m,37,1,C,31,12,1910,30,O,101918,.,.,.,1
ESP,10,m,38,1,C,31,12,1910,30,O,124456,.,.,.,1
ESP,10,m,39,1,C,31,12,1910,30,O,94718,.,.,.,1
ESP,10,m,40,1,C,31,12,1910,30,O,190700,.,.,.,1
ESP,10,m,41,1,C,31,12,1910,30,O,75170,.,.,.,1
ESP,10,m,42,1,C,31,12,1910,30,O,109908,.,.,.,1
ESP,10,m,43,1,C,31,12,1910,30,O,85509,.,.,.,1
ESP,10,m,44,1,C,31,12,1910,30,O,104564,.,.,.,1
ESP,10,m,45,1,C,31,12,1910,30,O,120581,.,.,.,1
ESP,10,m,46,1,C,31,12,1910,30,O,100190,.,.,.,1
ESP,10,m,47,1,C,31,12,1910,30,O,81120,.,.,.,1
ESP,10,m,48,1,C,31,12,1910,30,O,106807,.,.,.,1
ESP,10,m,49,1,C,31,12,1910,30,O,80744,.,.,.,1
ESP,10,m,50,1,C,31,12,1910,30,O,169997,.,.,.,1
ESP,10,m,51,1,C,31,12,1910,30,O,64689,.,.,.,1
ESP,10,m,52,1,C,31,12,1910,30,O,86859,.,.,.,1
ESP,10,m,53,1,C,31,12,1910,30,O,66339,.,.,.,1
ESP,10,m,54,1,C,31,12,1910,30,O,78119,.,.,.,1
ESP,10,m,55,1,C,31,12,1910,30,O,84168,.,.,.,1
ESP,10,m,56,1,C,31,12,1910,30,O,80732,.,.,.,1
ESP,10,m,57,1,C,31,12,1910,30,O,59372,.,.,.,1
ESP,10,m,58,1,C,31,12,1910,30,O,76499,.,.,.,1
ESP,10,m,59,1,C,31,12,1910,30,O,56569,.,.,.,1
ESP,10,m,60,1,C,31,12,1910,30,O,135293,.,.,.,1
ESP,10,m,61,1,C,31,12,1910,30,O,48142,.,.,.,1
ESP,10,m,62,1,C,31,12,1910,30,O,63474,.,.,.,1
ESP,10,m,63,1,C,31,12,1910,30,O,50596,.,.,.,1
ESP,10,m,64,1,C,31,12,1910,30,O,58434,.,.,.,1
ESP,10,m,65,1,C,31,12,1910,30,O,59168,.,.,.,1
ESP,10,m,66,1,C,31,12,1910,30,O,53371,.,.,.,1
ESP,10,m,67,1,C,31,12,1910,30,O,40935,.,.,.,1
ESP,10,m,68,1,C,31,12,1910,30,O,45468,.,.,.,1
ESP,10,m,69,1,C,31,12,1910,30,O,29547,.,.,.,1
ESP,10,m,70,1,C,31,12,1910,30,O,69062,.,.,.,1
ESP,10,m,71,1,C,31,12,1910,30,O,21055,.,.,.,1
ESP,10,m,72,1,C,31,12,1910,30,O,26574,.,.,.,1
